game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
200810290SAS,2009,SAS,PHO,0,12,7,232,377,424,6,235,322,406,423,-1
200810290SAS,2009,SAS,PHO,6,12,259,232,377,424,6,235,322,406,423,1
200810290SAS,2009,SAS,PHO,8,12,154,259,232,377,6,5,235,322,423,-1
200810290SAS,2009,SAS,PHO,9,25,154,259,434,377,6,5,542,200,86,1
200810290SAS,2009,SAS,PHO,11,25,7,259,434,424,5,542,200,86,587,1
200810290SAS,2009,SAS,PHO,16,12,7,259,434,424,6,200,86,406,423,1
200810290SAS,2009,SAS,PHO,17,12,7,434,377,424,6,200,86,406,423,-1
200810290SAS,2009,SAS,PHO,19,12,154,259,232,377,6,86,322,406,423,-1
200810290SAS,2009,SAS,PHO,21,259,232,434,377,424,6,235,322,406,423,1
200810290SAS,2009,SAS,PHO,22,7,259,232,434,424,6,235,322,406,423,1
200810290SAS,2009,SAS,PHO,23,25,7,232,434,424,6,200,322,406,423,1
200810290SAS,2009,SAS,PHO,25,12,7,232,377,424,6,235,322,406,423,1
200810290SAS,2009,SAS,PHO,29,12,259,232,377,424,6,235,322,406,423,-1
200810290SAS,2009,SAS,PHO,32,154,259,232,434,377,6,5,235,322,423,-1
200810290SAS,2009,SAS,PHO,34,25,7,259,434,424,6,5,542,200,86,1
200810290SAS,2009,SAS,PHO,36,25,7,259,434,424,5,542,200,86,587,-1
200810290SAS,2009,SAS,PHO,37,25,154,7,434,377,5,542,200,86,587,1
200810290SAS,2009,SAS,PHO,40,154,259,232,434,377,6,86,322,406,423,-1
200810290SAS,2009,SAS,PHO,42,259,232,434,377,424,6,86,322,406,423,-1
200810290SAS,2009,SAS,PHO,43,12,259,232,377,424,6,86,322,406,423,1
200810290SAS,2009,SAS,PHO,45,259,232,434,377,424,6,86,322,406,423,-1
200810290SAS,2009,SAS,PHO,46,7,232,434,377,424,6,86,322,406,423,-1
200810290SAS,2009,SAS,PHO,47,259,232,434,377,424,6,86,322,406,423,-1
200810300PHO,2009,PHO,NOH,0,6,235,322,406,423,121,110,246,343,368,-1
200810300PHO,2009,PHO,NOH,8,6,235,322,406,423,110,246,289,343,368,-1
200810300PHO,2009,PHO,NOH,9,6,5,235,322,423,110,246,217,289,368,-1
200810300PHO,2009,PHO,NOH,10,6,5,200,86,423,110,217,314,289,368,-1
200810300PHO,2009,PHO,NOH,13,5,542,200,86,587,113,217,314,289,390,-1
200810300PHO,2009,PHO,NOH,15,5,542,200,86,315,121,113,217,314,390,-1
200810300PHO,2009,PHO,NOH,18,6,200,86,406,423,121,110,113,217,368,-1
200810300PHO,2009,PHO,NOH,21,6,86,235,406,423,121,110,246,343,368,1
200810300PHO,2009,PHO,NOH,23,6,86,235,406,423,121,110,314,343,368,1
200810300PHO,2009,PHO,NOH,25,6,235,322,406,423,121,110,246,343,368,-1
200810300PHO,2009,PHO,NOH,31,6,235,322,406,423,121,110,314,343,368,-1
200810300PHO,2009,PHO,NOH,33,6,5,235,322,423,121,110,314,343,368,1
200810300PHO,2009,PHO,NOH,34,6,5,235,322,423,121,110,217,314,368,-1
200810300PHO,2009,PHO,NOH,36,6,5,200,322,423,121,110,217,314,368,-1
200810300PHO,2009,PHO,NOH,37,6,5,542,200,322,121,110,217,314,390,1
200810300PHO,2009,PHO,NOH,38,6,5,542,200,86,121,110,217,314,390,1
200810300PHO,2009,PHO,NOH,40,6,5,542,200,86,110,217,289,368,390,1
200810300PHO,2009,PHO,NOH,41,6,5,542,200,86,110,217,289,343,390,-1
200810300PHO,2009,PHO,NOH,43,6,5,200,86,423,121,110,217,343,390,-1
200810300PHO,2009,PHO,NOH,45,6,5,200,322,423,121,110,217,343,390,1
200811010PHO,2009,PHO,POR,0,6,235,322,406,423,85,296,230,385,379,1
200811010PHO,2009,PHO,POR,9,6,235,322,406,423,85,296,230,576,585,-1
200811010PHO,2009,PHO,POR,11,6,5,235,322,423,85,71,576,585,379,-1
200811010PHO,2009,PHO,POR,12,6,5,542,200,86,85,71,576,585,379,-1
200811010PHO,2009,PHO,POR,13,6,5,542,200,86,71,576,585,330,379,-1
200811010PHO,2009,PHO,POR,16,5,542,200,86,315,71,576,585,330,379,-1
200811010PHO,2009,PHO,POR,19,6,5,200,86,423,71,576,585,330,379,1
200811010PHO,2009,PHO,POR,20,6,200,322,406,423,71,576,585,330,379,1
200811010PHO,2009,PHO,POR,21,6,200,322,406,423,85,296,230,585,385,1
200811010PHO,2009,PHO,POR,23,6,200,322,406,423,85,296,230,385,379,-1
200811010PHO,2009,PHO,POR,24,6,200,322,406,423,85,97,296,385,379,-1
200811010PHO,2009,PHO,POR,25,6,235,322,406,423,85,296,230,385,379,1
200811010PHO,2009,PHO,POR,35,6,5,86,235,322,85,71,576,585,330,1
200811010PHO,2009,PHO,POR,37,6,5,200,86,235,85,71,576,585,330,1
200811010PHO,2009,PHO,POR,38,6,5,200,86,235,71,576,585,330,379,-1
200811010PHO,2009,PHO,POR,40,6,5,200,86,235,85,71,576,585,330,-1
200811010PHO,2009,PHO,POR,41,5,200,86,235,406,85,555,296,230,385,-1
200811010PHO,2009,PHO,POR,45,6,235,322,406,423,85,555,230,385,379,-1
200811010PHO,2009,PHO,POR,47,6,5,235,322,423,85,230,585,385,379,-1
200811040NJN,2009,NJN,PHO,0,478,50,222,428,531,6,235,322,406,423,-1
