season,home_team,away_team,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
2012,DAL,DEN,Brendan Haywood,Delonte West,Dirk Nowitzki,Jason Kidd,Shawn Marion,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,1
2012,DAL,DEN,Brendan Haywood,Delonte West,Dirk Nowitzki,Jason Terry,Vince Carter,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,-1
2012,DAL,DEN,Brendan Haywood,Delonte West,Dirk Nowitzki,Jason Terry,Vince Carter,Andre Miller,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,-1
2012,DAL,DEN,Brendan Haywood,Delonte West,Jason Terry,Lamar Odom,Vince Carter,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,-1
2012,DAL,DEN,Delonte West,Ian Mahinmi,Jason Terry,Lamar Odom,Vince Carter,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,-1
2012,DAL,DEN,Dirk Nowitzki,Jason Terry,Lamar Odom,Rodrigue Beaubois,Shawn Marion,Al Harrington,Andre Miller,Arron Afflalo,Chris Andersen,Rudy Fernandez,-1
2012,DAL,DEN,Dirk Nowitzki,Jason Kidd,Jason Terry,Lamar Odom,Shawn Marion,Al Harrington,Andre Miller,Arron Afflalo,Chris Andersen,Rudy Fernandez,-1
2012,DAL,DEN,Dirk Nowitzki,Jason Kidd,Jason Terry,Lamar Odom,Shawn Marion,Al Harrington,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,-1
2012,DAL,DEN,Brendan Haywood,Jason Kidd,Jason Terry,Lamar Odom,Shawn Marion,Al Harrington,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,-1
2012,DAL,DEN,Brendan Haywood,Jason Kidd,Jason Terry,Lamar Odom,Shawn Marion,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,-1
2012,DAL,DEN,Brendan Haywood,Dirk Nowitzki,Jason Kidd,Shawn Marion,Vince Carter,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,-1
2012,DAL,DEN,Brendan Haywood,Dirk Nowitzki,Jason Kidd,Jason Terry,Lamar Odom,Al Harrington,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,-1
2012,DAL,DEN,Brendan Haywood,Dirk Nowitzki,Dominique Jones,Jason Kidd,Lamar Odom,Al Harrington,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,-1
2012,DAL,DEN,Brendan Haywood,Dirk Nowitzki,Jason Kidd,Jason Terry,Shawn Marion,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,-1
2012,DAL,DEN,Brian Cardinal,Dirk Nowitzki,Jason Kidd,Jason Terry,Shawn Marion,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,1
2012,DAL,DEN,Brian Cardinal,Dirk Nowitzki,Jason Kidd,Jason Terry,Shawn Marion,Andre Miller,Arron Afflalo,Chris Andersen,Danilo Gallinari,Ty Lawson,1
2012,DAL,DEN,Brian Cardinal,Dirk Nowitzki,Jason Kidd,Jason Terry,Lamar Odom,Andre Miller,Arron Afflalo,Chris Andersen,Danilo Gallinari,Ty Lawson,-1
2012,DAL,DEN,Delonte West,Lamar Odom,Rodrigue Beaubois,Sean Williams,Vince Carter,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,Ty Lawson,1
2012,DAL,DEN,Delonte West,Lamar Odom,Rodrigue Beaubois,Sean Williams,Vince Carter,Al Harrington,Andre Miller,Chris Andersen,Rudy Fernandez,Ty Lawson,-1
2012,DAL,DEN,Delonte West,Lamar Odom,Rodrigue Beaubois,Sean Williams,Vince Carter,Al Harrington,Andre Miller,Chris Andersen,Corey Brewer,Rudy Fernandez,1
