season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
2016,ORL,DET,47,Aaron Gordon,Troy Murphy,Evan Fournier,Nikola Vucevic,Victor Oladipo,Aron Baynes,Kentavious Caldwell-Pope,Reggie Bullock,Reggie Jackson,Tobias Harris,1
2016,PHI,CLE,46,Christian Wood,Hollis Thompson,Jerami Grant,Richaun Holmes,Chuck Hayes,James Jones,Jared Cunningham,Joe Harris,Matthew Dellavedova,Tristan Thompson,1
2016,SAS,MEM,19,Kevin Martin,Kyle Anderson,LaMarcus Aldridge,Tim Duncan,Brent Barry,Chris Andersen,JaMychal Green,Jordan Farmar,Lance Stephenson,Xavier Munford,1
2016,DET,CHO,19,Craig Smith,Kentavious Caldwell-Pope,Reggie Jackson,Stanley Johnson,Tobias Harris,Cody Zeller,Courtney Lee,Jeremy Lin,Kemba Walker,Marvin Williams,1
2016,POR,MIN,32,Al-Farouq Aminu,Stromile Swift,Damian Lillard,Ed Davis,Meyers Leonard,Andrew Wiggins,Gorgui Dieng,Karl-Anthony Towns,Ricky Rubio,Shabazz Muhammad,1
2016,OKC,MIN,46,Anthony Morrow,Charlie Bell,Russell Westbrook,Serge Ibaka,Steven Adams,Andrew Wiggins,Gorgui Dieng,Karl-Anthony Towns,Ricky Rubio,Zach LaVine,1
2016,PHO,ORL,33,Alex Len,Brandon Knight,Dwyane Wade,Mirza Teletovic,Ronnie Price,Aaron Gordon,Andrew Nicholson,Mario Hezonja,Shabazz Napier,Victor Oladipo,1
2016,BRK,CHO,37,Bojan Bogdanovic,Chris McCullough,Markel Brown,Shane Larkin,Anderson Varejao,Al Jefferson,Frank Kaminsky,Jeremy Lamb,Jeremy Lin,Kemba Walker,1
2016,MIN,PHO,14,Greg Smith,Nemanja Bjelica,Mickael Pietrus,Tayshaun Prince,Tyus Jones,Alan Williams,Chase Budinger,Devin Booker,Jon Leuer,Ronnie Price,1
2016,PHI,POR,25,Isaiah Canaan,Ish Smith,JaKarr Sampson,Jahlil Okafor,Yakhouba Diawara,Al-Farouq Aminu,CJ McCollum,Damian Lillard,Mason Plumlee,Noah Vonleh,1
2016,NOP,LAC,13,Alonzo Gee,Anthony Davis,Jrue Holiday,Damon Stoudamire,Ryan Anderson,Austin Rivers,Cole Aldrich,Jamal Crawford,Pablo Prigioni,Wesley Johnson,1
2016,WAS,POR,13,Bradley Beal,Gary Neal,Jared Dudley,Carlos Boozer,Ramon Sessions,Allen Crabbe,CJ McCollum,Ed Davis,Gerald Henderson,Meyers Leonard,1
2016,PHO,LAL,0,Brandon Knight,Eric Bledsoe,Jon Leuer,Paul Millsap,Tyson Chandler,D'Angelo Russell,Jordan Clarkson,Julius Randle,Metta World Peace,Roy Hibbert,1
2016,GSW,PHO,32,Andre Iguodala,Andrew Bogut,Draymond Green,Ime Udoka,Stephen Curry,Alex Len,Devin Booker,Mirza Teletovic,Ronnie Price,T.J. Warren,1
2016,IND,MIL,46,Michael Doleac,George Hill,Monta Ellis,Paul George,Solomon Hill,Giannis Antetokounmpo,Jerryd Bayless,Khris Middleton,Michael Carter-Williams,O.J. Mayo,1
2016,SAS,OKC,42,Danny Green,David West,Kawhi Leonard,Dwight Howard,Patty Mills,Andre Roberson,Enes Kanter,Kevin Durant,Russell Westbrook,Serge Ibaka,1
2016,DAL,MIN,19,Antoine Walker,Deron Williams,J.J. Barea,Wesley Matthews,Zaza Pachulia,Karl-Anthony Towns,Kevin Martin,Nemanja Bjelica,Ricky Rubio,Shabazz Muhammad,1
2016,GSW,BRK,46,Andre Iguodala,Quentin Richardson,Draymond Green,Shaun Livingston,Stephen Curry,Bojan Bogdanovic,Brook Lopez,Jarrett Jack,Joe Johnson,Thaddeus Young,1
2016,IND,NOP,0,George Hill,Renaldo Balkman,Monta Ellis,Myles Turner,Paul George,Alexis Ajinca,Alonzo Gee,Dante Cunningham,Omer Asik,Toney Douglas,1
2016,SAS,BRK,37,J.R. Smith,Danny Green,Kawhi Leonard,Patty Mills,Tim Duncan,Andrea Bargnani,Brook Lopez,Jarrett Jack,Joe Johnson,Rondae Hollis-Jefferson,1
2016,WAS,HOU,36,Allen Iverson,DeJuan Blair,Garrett Temple,Gary Neal,Ramon Sessions,Dwight Howard,James Harden,Jason Terry,Patrick Beverley,Ty Lawson,1
2016,SAC,WAS,40,Ben McLemore,Darren Collison,Maurice Evans,Omri Casspi,Willie Cauley-Stein,Bradley Beal,Garrett Temple,Jared Dudley,John Wall,Marcin Gortat,1
2016,UTA,DEN,42,Derrick Favors,Gordon Hayward,Stephon Marbury,Rodney Hood,Trevor Booker,Danilo Gallinari,Gary Harris,Jameer Nelson,Joffrey Lauvergne,Kenneth Faried,1
2016,POR,MEM,32,Al-Farouq Aminu,Allen Crabbe,Matt Barnes,Ed Davis,Maurice Harkless,Courtney Lee,Jeff Green,Marc Gasol,Matt Barnes,Mike Conley,1
2016,TOR,MIN,7,DeMar DeRozan,Martell Webster,Kyle Lowry,Patrick Patterson,Terrence Ross,Gorgui Dieng,Karl-Anthony Towns,Ricky Rubio,Shabazz Muhammad,Zach LaVine,1
2016,GSW,OKC,36,Andre Iguodala,Andrew Bogut,Harrison Barnes,Chris Webber,Stephen Curry,Anthony Morrow,Cameron Payne,Enes Kanter,Kevin Durant,Kyle Singler,1
2016,CHI,SAS,15,Derrick Rose,Doug McDermott,Damon Jones,Taj Gibson,Tony Snell,Boris Diaw,David West,Kyle Anderson,Manu Ginobili,Patty Mills,1
2016,LAC,POR,15,Austin Rivers,Jamal Crawford,Antawn Jamison,Lance Stephenson,Paul Pierce,Al-Farouq Aminu,Allen Crabbe,CJ McCollum,Mason Plumlee,Maurice Harkless,1
2016,BRK,LAL,11,Andrea Bargnani,Bojan Bogdanovic,Luther Head,Thomas Robinson,Wayne Ellington,Larry Nance,Lou Williams,Metta World Peace,Nick Young,Tarik Black,1
2016,LAC,GSW,25,Chris Paul,DeAndre Jordan,J.J. Redick,Luc Mbah a Moute,Antonio McDyess,Brandon Rush,Draymond Green,Harrison Barnes,Klay Thompson,Stephen Curry,1
2016,MIN,PHO,7,Andrew Wiggins,Karl-Anthony Towns,Nemanja Bjelica,Ronnie Price,Shabazz Muhammad,Brandon Knight,Devin Booker,Markieff Morris,T.J. Warren,Tyson Chandler,1
2016,ORL,MEM,25,Aaron Gordon,Dewayne Dedmon,Matt Harpring,Evan Fournier,Victor Oladipo,Chris Andersen,Jordan Farmar,Matt Barnes,Tony Allen,Zach Randolph,1
2016,MIA,CLE,38,Antawn Jamison,Goran Dragic,Hassan Whiteside,Josh Richardson,Justise Winslow,James Jones,Jordan McRae,Matthew Dellavedova,Richard Jefferson,Timofey Mozgov,1
2016,BRK,CHO,42,Bojan Bogdanovic,Brook Lopez,Joe Johnson,Mike Miller,Thaddeus Young,Al Jefferson,Courtney Lee,Jeremy Lin,Marvin Williams,Nicolas Batum,1
2016,DAL,PHI,20,Chandler Parsons,Deron Williams,Luol Deng,Wesley Matthews,Zaza Pachulia,Isaiah Canaan,Ish Smith,Jahlil Okafor,Jerami Grant,Nik Stauskas,1
2016,OKC,LAL,33,Trenton Hassell,Kevin Durant,Nick Collison,Russell Westbrook,Steven Adams,D'Angelo Russell,Jordan Clarkson,Julius Randle,Nick Young,Roy Hibbert,1
2016,LAL,HOU,35,Brandon Bass,D'Angelo Russell,Juwan Howard,Kobe Bryant,Ryan Kelly,Clint Capela,Corey Brewer,Marcus Thornton,Montrezl Harrell,Ty Lawson,1
2016,TOR,IND,4,Cory Joseph,James Johnson,Jason Thompson,Antoine Walker,Norman Powell,George Hill,Lavoy Allen,Monta Ellis,Myles Turner,Paul George,1
2016,PHO,TOR,25,Archie Goodwin,Devin Booker,Markieff Morris,Charlie Bell,Tyson Chandler,DeMar DeRozan,Jonas Valanciunas,Kyle Lowry,Luis Scola,Norman Powell,1
2016,LAL,OKC,39,LaMarcus Aldridge,Brandon Bass,Julius Randle,Lou Williams,Marcelo Huertas,Anthony Morrow,Cameron Payne,Dion Waiters,Enes Kanter,Nick Collison,1
2016,CLE,SAS,41,Iman Shumpert,Kyrie Irving,Matthew Dellavedova,Richard Jefferson,Zydrunas Ilgauskas,Danny Green,Jonathon Simmons,Kyle Anderson,LaMarcus Aldridge,Patty Mills,1
2016,POR,OKC,8,Allen Crabbe,P.J. Brown,Gerald Henderson,Mason Plumlee,Maurice Harkless,Cameron Payne,Dion Waiters,Enes Kanter,Kyle Singler,Randy Foye,1
2016,NYK,PHI,33,Carmelo Anthony,Smush Parker,Jose Calderon,Kristaps Porzingis,Sasha Vujacic,Hollis Thompson,Isaiah Canaan,Ish Smith,Jerami Grant,Nerlens Noel,1
2016,NOP,DEN,21,Dante Cunningham,James Ennis,Udonis Haslem,Tim Frazier,Toney Douglas,D.J. Augustin,Darrell Arthur,Gary Harris,Nikola Jokic,Will Barton,1
2016,PHI,IND,18,Carlos Arroyo,Isaiah Canaan,Ish Smith,Jerami Grant,Robert Covington,C.J. Miles,Myles Turner,Rodney Stuckey,Solomon Hill,Ty Lawson,1
2016,MIN,SAC,23,Andrew Wiggins,Gorgui Dieng,Karl-Anthony Towns,Deron Williams,Zach LaVine,Darren Collison,Kosta Koufos,Rajon Rondo,Rudy Gay,Willie Cauley-Stein,1
2016,MIL,CHI,13,Baron Davis,Jabari Parker,John Henson,O.J. Mayo,Rashad Vaughn,Bobby Portis,Doug McDermott,Joakim Noah,Kirk Hinrich,Tony Snell,1
2016,OKC,PHO,0,Andre Roberson,Allen Iverson,Russell Westbrook,Serge Ibaka,Steven Adams,Brandon Knight,Eric Bledsoe,Markieff Morris,P.J. Tucker,Tyson Chandler,1
2016,MIA,CHI,31,Amar'e Stoudemire,Goran Dragic,Kobe Bryant,Josh Richardson,Justise Winslow,Bobby Portis,Derrick Rose,Doug McDermott,Pau Gasol,Tony Snell,1
2016,HOU,ATL,0,Clint Capela,Stephon Marbury,James Harden,Patrick Beverley,Trevor Ariza,Al Horford,Jeff Teague,Kent Bazemore,Kyle Korver,Paul Millsap,1
2016,UTA,LAC,34,Eddy Curry,Gordon Hayward,Raul Neto,Rodney Hood,Trey Lyles,C.J. Wilcox,Cole Aldrich,Jeff Green,Luc Mbah a Moute,Pablo Prigioni,1
2016,POR,MIA,20,Al-Farouq Aminu,Damian Lillard,Brian Skinner,Mason Plumlee,Maurice Harkless,Goran Dragic,Hassan Whiteside,Josh Richardson,Justise Winslow,Luol Deng,1
2016,NYK,HOU,21,Anthony Parker,Jose Calderon,Kristaps Porzingis,Lance Thomas,Robin Lopez,Clint Capela,James Harden,Jason Terry,Terrence Jones,Trevor Ariza,1
2016,MIA,NOP,33,Charlie Bell,Gerald Green,Goran Dragic,Justise Winslow,Luol Deng,Anthony Davis,Eric Gordon,Jrue Holiday,Norris Cole,Ryan Anderson,1
2016,IND,TOR,20,C.J. Miles,George Hill,Mickael Pietrus,Monta Ellis,Paul George,Bismack Biyombo,DeMar DeRozan,James Johnson,Kyle Lowry,Norman Powell,1
2016,CHI,PHO,16,Derrick Rose,E'Twaun Moore,Joakim Noah,Jared Jeffries,Tony Snell,Brandon Knight,Devin Booker,Jon Leuer,Mirza Teletovic,T.J. Warren,1
2016,CLE,ATL,18,Jared Cunningham,Kevin Love,LeBron James,Richard Jefferson,Jamal Sampson,Jeff Teague,Lamar Patterson,Mike Muscala,Paul Millsap,Thabo Sefolosha,1
2016,CLE,BRK,18,Sebastian Telfair,Kevin Love,Kyrie Irving,LeBron James,Tristan Thompson,Chris McCullough,Donald Sloan,Markel Brown,Sean Kilpatrick,Thomas Robinson,1
2016,IND,MEM,19,Marcus Camby,Ian Mahinmi,Jordan Hill,Paul George,Rodney Stuckey,Courtney Lee,Marc Gasol,Mike Conley,Tony Allen,Zach Randolph,1
2016,ATL,NYK,7,Jeff Teague,Kent Bazemore,Paul Millsap,Thabo Sefolosha,Francisco Garcia,Arron Afflalo,Carmelo Anthony,Lance Thomas,Langston Galloway,Robin Lopez,1
2016,BOS,TOR,17,Avery Bradley,Jonas Jerebko,Marcus Smart,Terry Rozier,Gilbert Arenas,Bismack Biyombo,DeMar DeRozan,Delon Wright,Jason Thompson,Terrence Ross,1
2016,NYK,PHO,8,Arron Afflalo,Manu Ginobili,Kristaps Porzingis,Langston Galloway,Robin Lopez,Jordan McRae,Mirza Teletovic,P.J. Tucker,Sonny Weems,Tyson Chandler,1
2016,TOR,UTA,26,Steve Nash,James Johnson,Jonas Valanciunas,Kyle Lowry,Luis Scola,Derrick Favors,Gordon Hayward,Joe Ingles,Shelvin Mack,Trevor Booker,1
2016,TOR,MIA,9,DeMar DeRozan,Jonas Valanciunas,Kyle Lowry,Patrick Patterson,Caron Butler,Chris Bosh,Gerald Green,Josh Richardson,Justise Winslow,Tyler Johnson,1
2016,TOR,NOP,22,Cory Joseph,Ben Gordon,DeMarre Carroll,Jonas Valanciunas,Luis Scola,Alonzo Gee,Eric Gordon,Ish Smith,Omer Asik,Ryan Anderson,1
2016,BRK,CLE,13,Andrea Bargnani,Carlos Delfino,Sergey Karasev,Shane Larkin,Willie Reed,Iman Shumpert,James Jones,Kyrie Irving,Richard Jefferson,Tristan Thompson,1
2016,ATL,LAL,20,Jeff Teague,David Noel,Mike Scott,Paul Millsap,Thabo Sefolosha,D'Angelo Russell,Jordan Clarkson,Julius Randle,Kobe Bryant,Roy Hibbert,1
2016,PHO,MIN,13,Devin Booker,Eric Bledsoe,Jake Tsakalidis,T.J. Warren,Tyson Chandler,Gorgui Dieng,Nemanja Bjelica,Shabazz Muhammad,Tayshaun Prince,Zach LaVine,1
2016,LAL,DEN,11,Amar'e Stoudemire,Julius Randle,Larry Nance,Lou Williams,Marcelo Huertas,D.J. Augustin,JaKarr Sampson,Joffrey Lauvergne,Jusuf Nurkic,Will Barton,1
2016,NYK,PHO,16,Arron Afflalo,Carmelo Anthony,Kristaps Porzingis,Sam Cassell,Langston Galloway,Jon Leuer,Jordan McRae,Markieff Morris,Mirza Teletovic,T.J. Warren,1
2016,WAS,DEN,32,Bradley Beal,Garrett Temple,Jared Dudley,Shaun Livingston,Marcin Gortat,Danilo Gallinari,Emmanuel Mudiay,Gary Harris,Kenneth Faried,Nikola Jokic,1
2016,POR,DAL,47,Gordan Giricek,CJ McCollum,Damian Lillard,Ed Davis,Meyers Leonard,Charlie Villanueva,Deron Williams,Dirk Nowitzki,Raymond Felton,Wesley Matthews,1
2016,PHI,BRK,44,Carl Landry,Mike Sweetney,Isaiah Canaan,Ish Smith,Nerlens Noel,Brook Lopez,Donald Sloan,Sean Kilpatrick,Thaddeus Young,Wayne Ellington,1
2016,MEM,DEN,45,Jeff Green,Mario Chalmers,Stephen Jackson,Tony Allen,Zach Randolph,Danilo Gallinari,Darrell Arthur,Gary Harris,Jameer Nelson,Jusuf Nurkic,1
2016,IND,NYK,46,George Hill,Ian Mahinmi,Rodney Stuckey,Shammond Williams,Ty Lawson,Cleanthony Early,Jerian Grant,Kevin Seraphin,Langston Galloway,Lou Amundson,1
2016,LAC,LAL,6,Chris Paul,DeAndre Jordan,J.J. Redick,Earl Boykins,Wesley Johnson,D'Angelo Russell,Julius Randle,Kobe Bryant,Marcelo Huertas,Tarik Black,1
2016,LAC,GSW,13,Austin Rivers,DeAndre Jordan,Jamal Crawford,Josh Smith,Nate Robinson,Andre Iguodala,Brandon Rush,Draymond Green,Festus Ezeli,Stephen Curry,1
2016,MIA,DEN,20,Dwyane Wade,Josh McRoberts,Steve Francis,Justise Winslow,Luol Deng,D.J. Augustin,Darrell Arthur,Gary Harris,JaKarr Sampson,Kenneth Faried,1
2016,WAS,IND,24,Josh Smith,Garrett Temple,Gary Neal,John Wall,Marcin Gortat,C.J. Miles,George Hill,Jordan Hill,Monta Ellis,Paul George,1
2016,CLE,SAS,22,J.R. Smith,Kevin Love,LeBron James,Matthew Dellavedova,Charlie Villanueva,Boris Diaw,David West,Kawhi Leonard,Manu Ginobili,Tony Parker,1
2016,WAS,MIA,7,Garrett Temple,John Wall,Kelly Oubre,Marcin Gortat,Rajon Rondo,Chris Bosh,Hassan Whiteside,Josh Richardson,Justise Winslow,Tyler Johnson,1
2016,MIA,TOR,19,Lorenzen Wright,Gerald Green,Goran Dragic,Hassan Whiteside,Luol Deng,Bismack Biyombo,DeMar DeRozan,Kyle Lowry,Luis Scola,Terrence Ross,1
2016,CHO,UTA,13,Frank Kaminsky,Jeremy Lin,Nicolas Batum,P.J. Hairston,Danny Granger,Chris Johnson,Jeff Withey,Rodney Hood,Trevor Booker,Trey Burke,1
2016,HOU,PHI,6,Dwight Howard,Ben Gordon,Patrick Beverley,Terrence Jones,Trevor Ariza,JaKarr Sampson,Jerami Grant,Richaun Holmes,Robert Covington,T.J. McConnell,1
2016,POR,SAC,9,Al-Farouq Aminu,Allen Crabbe,Eric Snow,Ed Davis,Meyers Leonard,James Anderson,Kosta Koufos,Marco Belinelli,Rajon Rondo,Willie Cauley-Stein,1
2016,POR,UTA,23,Al-Farouq Aminu,CJ McCollum,Damian Lillard,Gerald Green,Mason Plumlee,Gordon Hayward,Jeff Withey,Rodney Hood,Trevor Booker,Trey Burke,1
2016,ORL,LAC,20,Aaron Gordon,Elfrid Payton,Evan Fournier,David Lee,Victor Oladipo,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Paul Pierce,1
2016,CHI,TOR,22,Bobby Portis,Derrick Rose,Doug McDermott,Juan Dixon,Tony Snell,Cory Joseph,DeMar DeRozan,Jonas Valanciunas,Luis Scola,Terrence Ross,1
2016,CHI,HOU,25,Derrick Rose,Jimmy Butler,Mike Dunleavy,Shaquille O'Neal,Taj Gibson,Donatas Motiejunas,Dwight Howard,James Harden,Patrick Beverley,Trevor Ariza,1
2016,MIA,DET,9,Beno Udrih,Jordan Farmar,Hassan Whiteside,Justise Winslow,Luol Deng,Aron Baynes,Ersan Ilyasova,Marcus Morris,Reggie Jackson,Stanley Johnson,1
2016,BOS,CHO,47,James Young,Jonas Jerebko,Luol Deng,Terry Rozier,Tyler Zeller,Al Jefferson,Courtney Lee,Jeremy Lin,Kemba Walker,Marvin Williams,1
2016,CLE,CHI,12,Iman Shumpert,Ricky Davis,Kyrie Irving,Mo Williams,Tristan Thompson,Bobby Portis,Derrick Rose,Doug McDermott,Jimmy Butler,Nikola Mirotic,1
2016,CHO,PHO,11,Al Jefferson,Andris Biedrins,Jeremy Lamb,Jeremy Lin,Kemba Walker,Archie Goodwin,Devin Booker,Jon Leuer,Mirza Teletovic,Phil Pressey,1
2016,IND,BRK,24,C.J. Miles,Ian Mahinmi,Samuel Dalembert,Paul George,Rodney Stuckey,Bojan Bogdanovic,Brook Lopez,Jarrett Jack,Joe Johnson,Thaddeus Young,1
2016,MIN,PHO,16,Greg Smith,P.J. Brown,Shabazz Muhammad,Tayshaun Prince,Tyus Jones,Alex Len,Brandon Knight,Jon Leuer,P.J. Tucker,Ronnie Price,1
2016,BRK,CHO,20,Matt Barnes,Joe Johnson,Thaddeus Young,Wayne Ellington,Willie Reed,Al Jefferson,Courtney Lee,Kemba Walker,Marvin Williams,Nicolas Batum,1
2016,TOR,CHO,21,DeMar DeRozan,DeMarre Carroll,Chris Duhon,Kyle Lowry,Luis Scola,Frank Kaminsky,Jeremy Lamb,Kemba Walker,Marvin Williams,Nicolas Batum,1
2016,DAL,DET,13,David Lee,Randy Foye,Dirk Nowitzki,J.J. Barea,Raymond Felton,Aron Baynes,Kentavious Caldwell-Pope,Reggie Bullock,Steve Blake,Tobias Harris,1
2016,NOP,ORL,24,Anthony Davis,Eric Gordon,Matt Harpring,Jrue Holiday,Ryan Anderson,C.J. Watson,Evan Fournier,Jason Smith,Nikola Vucevic,Victor Oladipo,1
2016,BRK,NYK,20,Brook Lopez,Donald Sloan,Joe Johnson,Thaddeus Young,Stephen Jackson,Arron Afflalo,Carmelo Anthony,Jose Calderon,Kristaps Porzingis,Robin Lopez,1
