season,team,player_0,player_1,player_2,player_3
0,14,644,695,855,907
0,14,609,695,855,907
0,14,609,644,855,907
0,14,609,644,695,907
0,14,609,644,695,855
0,14,644,695,855,907
0,14,609,695,855,907
0,14,609,644,855,907
0,14,609,644,695,907
0,14,609,644,695,855
0,14,695,877,907,1007
0,14,116,877,907,1007
0,14,116,695,907,1007
0,14,116,695,877,1007
0,14,116,695,877,907
0,14,518,609,877,1007
0,14,116,609,877,1007
0,14,116,518,877,1007
0,14,116,518,609,1007
0,14,116,518,609,877
0,14,518,609,877,1007
0,14,116,609,877,1007
0,14,116,518,877,1007
0,14,116,518,609,1007
0,14,116,518,609,877
0,14,609,877,907,1007
0,14,116,877,907,1007
0,14,116,609,907,1007
0,14,116,609,877,1007
0,14,116,609,877,907
0,14,609,695,877,907
0,14,48,695,877,907
0,14,48,609,877,907
0,14,48,609,695,907
0,14,48,609,695,877
0,14,609,644,695,907
0,14,48,644,695,907
0,14,48,609,695,907
0,14,48,609,644,907
0,14,48,609,644,695
0,14,609,644,695,907
0,14,48,644,695,907
0,14,48,609,695,907
0,14,48,609,644,907
0,14,48,609,644,695
0,14,609,644,695,907
0,14,48,644,695,907
0,14,48,609,695,907
0,14,48,609,644,907
0,14,48,609,644,695
0,14,609,644,695,907
0,14,48,644,695,907
0,14,48,609,695,907
0,14,48,609,644,907
0,14,48,609,644,695
0,14,609,644,695,1007
0,14,518,644,695,1007
0,14,518,609,695,1007
0,14,518,609,644,1007
0,14,518,609,644,695
0,14,518,609,877,1007
0,14,116,609,877,1007
0,14,116,518,877,1007
0,14,116,518,609,1007
0,14,116,518,609,877
0,27,624,807,902,924
0,27,33,807,902,924
0,27,33,624,902,924
0,27,33,624,807,924
0,27,33,624,807,902
0,27,624,807,902,924
0,27,33,807,902,924
0,27,33,624,902,924
0,27,33,624,807,924
0,27,33,624,807,902
0,27,624,664,902,924
0,27,33,664,902,924
0,27,33,624,902,924
0,27,33,624,664,924
0,27,33,624,664,902
0,27,100,427,624,664
0,27,33,427,624,664
0,27,33,100,624,664
0,27,33,100,427,664
0,27,33,100,427,624
0,27,427,624,664,902
0,27,100,624,664,902
0,27,100,427,664,902
0,27,100,427,624,902
0,27,100,427,624,664
0,27,624,807,902,924
0,27,33,807,902,924
0,27,33,624,902,924
0,27,33,624,807,924
0,27,33,624,807,902
0,27,624,807,902,924
0,27,598,807,902,924
0,27,598,624,902,924
0,27,598,624,807,924
0,27,598,624,807,902
0,27,100,427,624,664
0,27,33,427,624,664
0,27,33,100,624,664
0,27,33,100,427,664
0,27,33,100,427,624
0,27,624,807,902,924
0,27,598,807,902,924
0,27,598,624,902,924
0,27,598,624,807,924
0,27,598,624,807,902
0,27,100,427,624,664
0,27,33,427,624,664
0,27,33,100,624,664
0,27,33,100,427,664
0,27,33,100,427,624
0,27,427,598,624,664
0,27,100,598,624,664
0,27,100,427,624,664
0,27,100,427,598,664
0,27,100,427,598,624
0,27,427,598,624,664
0,27,100,598,624,664
0,27,100,427,624,664
0,27,100,427,598,664
