season,team,player_0,player_1,player_2,player_3,target_player
7,0,633,4,721,717,11
7,0,11,4,721,717,633
7,0,11,633,721,717,4
7,0,11,633,4,717,721
7,0,11,633,4,721,717
7,0,4,606,721,717,633
7,0,633,606,721,717,4
7,0,633,4,721,717,606
7,0,633,4,606,717,721
7,0,633,4,606,721,717
7,0,513,245,385,423,11
7,0,11,245,385,423,513
7,0,11,513,385,423,245
7,0,11,513,245,423,385
7,0,11,513,245,385,423
7,0,513,245,385,423,11
7,0,11,245,385,423,513
7,0,11,513,385,423,245
7,0,11,513,245,423,385
7,0,11,513,245,385,423
7,0,245,407,385,423,513
7,0,513,407,385,423,245
7,0,513,245,385,423,407
7,0,513,245,407,423,385
7,0,513,245,407,385,423
7,0,513,245,385,423,11
7,0,11,245,385,423,513
7,0,11,513,385,423,245
7,0,11,513,245,423,385
7,0,11,513,245,385,423
7,0,633,4,721,717,11
7,0,11,4,721,717,633
7,0,11,633,721,717,4
7,0,11,633,4,717,721
7,0,11,633,4,721,717
7,0,4,606,721,717,633
7,0,633,606,721,717,4
7,0,633,4,721,717,606
7,0,633,4,606,717,721
7,0,633,4,606,721,717
7,0,4,606,721,717,633
7,0,633,606,721,717,4
7,0,633,4,721,717,606
7,0,633,4,606,717,721
7,0,633,4,606,721,717
7,0,4,606,721,717,633
7,0,633,606,721,717,4
7,0,633,4,721,717,606
7,0,633,4,606,717,721
7,0,633,4,606,721,717
7,2,121,545,210,469,669
7,2,669,545,210,469,121
7,2,669,121,210,469,545
7,2,669,121,545,469,210
7,2,669,121,545,210,469
7,2,605,213,235,370,669
7,2,669,213,235,370,605
7,2,669,605,235,370,213
7,2,669,605,213,370,235
7,2,669,605,213,235,370
7,2,605,545,213,235,623
7,2,623,545,213,235,605
7,2,623,605,213,235,545
7,2,623,605,545,235,213
7,2,623,605,545,213,235
7,2,121,545,210,469,669
7,2,669,545,210,469,121
7,2,669,121,210,469,545
7,2,669,121,545,469,210
7,2,669,121,545,210,469
7,2,121,545,210,235,669
7,2,669,545,210,235,121
7,2,669,121,210,235,545
7,2,669,121,545,235,210
7,2,669,121,545,210,235
7,2,121,545,210,235,669
7,2,669,545,210,235,121
7,2,669,121,210,235,545
7,2,669,121,545,235,210
7,2,669,121,545,210,235
7,2,121,545,210,469,669
7,2,669,545,210,469,121
7,2,669,121,210,469,545
7,2,669,121,545,469,210
7,2,669,121,545,210,469
7,12,688,48,645,718,677
7,12,677,48,645,718,688
7,12,677,688,645,718,48
7,12,677,688,48,718,645
7,12,677,688,48,645,718
7,12,729,573,645,379,677
7,12,677,573,645,379,729
7,12,677,729,645,379,573
7,12,677,729,573,379,645
7,12,677,729,573,645,379
7,12,729,573,645,379,677
7,12,677,573,645,379,729
7,12,677,729,645,379,573
7,12,677,729,573,379,645
7,12,677,729,573,645,379
7,12,688,573,48,645,677
7,12,677,573,48,645,688
7,12,677,688,48,645,573
7,12,677,688,573,645,48
7,12,677,688,573,48,645
7,12,677,729,573,379,888
7,12,888,729,573,379,677
7,12,888,677,573,379,729
7,12,888,677,729,379,573
7,12,888,677,729,573,379
7,12,677,729,573,379,888
7,12,888,729,573,379,677
7,12,888,677,573,379,729
7,12,888,677,729,379,573
7,12,888,677,729,573,379
7,12,67,729,573,379,888
7,12,888,729,573,379,67
7,12,888,67,573,379,729
7,12,888,67,729,379,573
7,12,888,67,729,573,379
7,12,729,573,48,645,677
7,12,677,573,48,645,729
7,12,677,729,48,645,573
7,12,677,729,573,645,48
7,12,677,729,573,48,645
7,12,729,48,645,718,677
7,12,677,48,645,718,729
7,12,677,729,645,718,48
7,12,677,729,48,718,645
7,12,677,729,48,645,718
7,2,121,545,210,469,669
7,2,669,545,210,469,121
7,2,669,121,210,469,545
7,2,669,121,545,469,210
7,2,669,121,545,210,469
7,2,121,545,210,469,669
7,2,669,545,210,469,121
7,2,669,121,210,469,545
7,2,669,121,545,469,210
7,2,669,121,545,210,469
7,2,121,210,213,235,669
7,2,669,210,213,235,121
7,2,669,121,213,235,210
7,2,669,121,210,235,213
7,2,669,121,210,213,235
7,2,121,545,213,469,669
7,2,669,545,213,469,121
7,2,669,121,213,469,545
7,2,669,121,545,469,213
7,2,669,121,545,213,469
7,2,121,545,210,213,669
7,2,669,545,210,213,121
7,2,669,121,210,213,545
7,2,669,121,545,213,210
7,2,669,121,545,210,213
7,2,121,545,210,469,669
7,2,669,545,210,469,121
7,2,669,121,210,469,545
7,2,669,121,545,469,210
7,2,669,121,545,210,469
7,2,623,121,210,469,669
7,2,669,121,210,469,623
7,2,669,623,210,469,121
7,2,669,623,121,469,210
7,2,669,623,121,210,469
7,2,121,213,469,235,623
7,2,623,213,469,235,121
7,2,623,121,469,235,213
7,2,623,121,213,235,469
7,2,623,121,213,469,235
7,2,121,545,213,469,669
7,2,669,545,213,469,121
7,2,669,121,213,469,545
7,2,669,121,545,469,213
7,2,669,121,545,213,469
7,2,605,213,931,370,623
7,2,623,213,931,370,605
7,2,623,605,931,370,213
7,2,623,605,213,370,931
7,2,623,605,213,931,370
7,10,229,191,862,797,460
7,10,460,191,862,797,229
7,10,460,229,862,797,191
7,10,460,229,191,797,862
7,10,460,229,191,862,797
7,10,748,191,797,956,460
7,10,460,191,797,956,748
7,10,460,748,797,956,191
7,10,460,748,191,956,797
7,10,460,748,191,797,956
7,10,748,856,862,956,812
7,10,812,856,862,956,748
7,10,812,748,862,956,856
7,10,812,748,856,956,862
7,10,812,748,856,862,956
7,10,748,856,862,956,812
7,10,812,856,862,956,748
7,10,812,748,862,956,856
7,10,812,748,856,956,862
7,10,812,748,856,862,956
7,10,460,229,797,956,812
7,10,812,229,797,956,460
7,10,812,460,797,956,229
7,10,812,460,229,956,797
7,10,812,460,229,797,956
7,10,229,191,797,956,460
7,10,460,191,797,956,229
7,10,460,229,797,956,191
7,10,460,229,191,956,797
7,10,460,229,191,797,956
7,10,748,229,191,797,460
7,10,460,229,191,797,748
7,10,460,748,191,797,229
7,10,460,748,229,797,191
7,10,460,748,229,191,797
7,10,748,229,191,797,460
7,10,460,229,191,797,748
7,10,460,748,191,797,229
7,10,460,748,229,797,191
7,10,460,748,229,191,797
7,10,748,229,797,956,812
7,10,812,229,797,956,748
7,10,812,748,797,956,229
7,10,812,748,229,956,797
7,10,812,748,229,797,956
7,10,460,748,229,856,812
7,10,812,748,229,856,460
7,10,812,460,229,856,748
7,10,812,460,748,856,229
7,10,812,460,748,229,856
7,10,460,748,229,797,812
7,10,812,748,229,797,460
7,10,812,460,229,797,748
7,10,812,460,748,797,229
7,10,812,460,748,229,797
7,10,460,748,229,797,812
7,10,812,748,229,797,460
7,10,812,460,229,797,748
7,10,812,460,748,797,229
7,10,812,460,748,229,797
7,11,355,575,437,417,168
7,11,168,575,437,417,355
7,11,168,355,437,417,575
7,11,168,355,575,417,437
7,11,168,355,575,437,417
7,11,355,575,437,286,168
7,11,168,575,437,286,355
7,11,168,355,437,286,575
7,11,168,355,575,286,437
7,11,168,355,575,437,286
7,11,130,783,437,286,534
7,11,534,783,437,286,130
7,11,534,130,437,286,783
7,11,534,130,783,286,437
7,11,534,130,783,437,286
7,11,355,575,783,386,168
7,11,168,575,783,386,355
7,11,168,355,783,386,575
7,11,168,355,575,386,783
7,11,168,355,575,783,386
7,11,130,355,575,417,168
7,11,168,355,575,417,130
7,11,168,130,575,417,355
7,11,168,130,355,417,575
7,11,168,130,355,575,417
7,11,355,783,437,417,168
7,11,168,783,437,417,355
7,11,168,355,437,417,783
7,11,168,355,783,417,437
7,11,168,355,783,437,417
7,11,355,783,437,286,534
7,11,534,783,437,286,355
7,11,534,355,437,286,783
7,11,534,355,783,286,437
7,11,534,355,783,437,286
7,11,130,783,437,286,534
7,11,534,783,437,286,130
7,11,534,130,437,286,783
7,11,534,130,783,286,437
7,11,534,130,783,437,286
7,11,130,783,437,286,534
7,11,534,783,437,286,130
7,11,534,130,437,286,783
7,11,534,130,783,286,437
7,11,534,130,783,437,286
7,11,130,355,783,286,534
7,11,534,355,783,286,130
7,11,534,130,783,286,355
7,11,534,130,355,286,783
7,11,534,130,355,783,286
7,11,355,783,437,286,168
7,11,168,783,437,286,355
7,11,168,355,437,286,783
7,11,168,355,783,286,437
7,11,168,355,783,437,286
7,18,39,611,697,641,731
7,18,731,611,697,641,39
7,18,731,39,697,641,611
7,18,731,39,611,641,697
7,18,731,39,611,697,641
7,18,39,611,697,641,731
7,18,731,611,697,641,39
7,18,731,39,697,641,611
7,18,731,39,611,641,697
7,18,731,39,611,697,641
7,18,611,697,707,641,49
7,18,49,697,707,641,611
7,18,49,611,707,641,697
7,18,49,611,697,641,707
7,18,49,611,697,707,641
7,18,697,707,641,863,49
7,18,49,707,641,863,697
7,18,49,697,641,863,707
7,18,49,697,707,863,641
7,18,49,697,707,641,863
7,18,49,697,641,863,39
7,18,39,697,641,863,49
7,18,39,49,641,863,697
7,18,39,49,697,863,641
7,18,39,49,697,641,863
7,18,39,49,611,863,731
7,18,731,49,611,863,39
7,18,731,39,611,863,49
7,18,731,39,49,863,611
7,18,731,39,49,611,863
7,18,39,49,611,863,731
7,18,731,49,611,863,39
7,18,731,39,611,863,49
7,18,731,39,49,863,611
7,18,731,39,49,611,863
7,18,39,611,707,863,731
7,18,731,611,707,863,39
7,18,731,39,707,863,611
7,18,731,39,611,863,707
7,18,731,39,611,707,863
7,18,39,49,641,863,731
7,18,731,49,641,863,39
7,18,731,39,641,863,49
7,18,731,39,49,863,641
7,18,731,39,49,641,863
7,2,121,545,213,469,669
7,2,669,545,213,469,121
7,2,669,121,213,469,545
7,2,669,121,545,469,213
7,2,669,121,545,213,469
7,2,121,213,235,370,669
7,2,669,213,235,370,121
7,2,669,121,235,370,213
7,2,669,121,213,370,235
7,2,669,121,213,235,370
7,2,605,213,235,370,623
7,2,623,213,235,370,605
7,2,623,605,235,370,213
7,2,623,605,213,370,235
7,2,623,605,213,235,370
7,2,605,545,213,235,623
7,2,623,545,213,235,605
7,2,623,605,213,235,545
7,2,623,605,545,235,213
7,2,623,605,545,213,235
7,2,121,545,210,213,669
7,2,669,545,210,213,121
7,2,669,121,210,213,545
7,2,669,121,545,213,210
7,2,669,121,545,210,213
7,2,121,545,213,235,669
7,2,669,545,213,235,121
7,2,669,121,213,235,545
7,2,669,121,545,235,213
7,2,669,121,545,213,235
7,2,121,545,213,235,669
7,2,669,545,213,235,121
7,2,669,121,213,235,545
7,2,669,121,545,235,213
7,2,669,121,545,213,235
7,2,605,545,213,235,669
7,2,669,545,213,235,605
7,2,669,605,213,235,545
7,2,669,605,545,235,213
7,2,669,605,545,213,235
7,2,605,545,213,235,669
7,2,669,545,213,235,605
7,2,669,605,213,235,545
7,2,669,605,545,235,213
7,2,669,605,545,213,235
7,2,121,545,210,469,669
7,2,669,545,210,469,121
7,2,669,121,210,469,545
7,2,669,121,545,469,210
7,2,669,121,545,210,469
7,2,121,545,213,235,669
7,2,669,545,213,235,121
7,2,669,121,213,235,545
7,2,669,121,545,235,213
7,2,669,121,545,213,235
7,2,605,213,235,370,623
7,2,623,213,235,370,605
7,2,623,605,235,370,213
7,2,623,605,213,370,235
7,2,623,605,213,235,370
7,2,121,545,210,469,669
7,2,669,545,210,469,121
7,2,669,121,210,469,545
